Age,Workclass,fnlgwt,Education,EdNum,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Country,Income
73,Private,139978,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
48,Private,180446,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
30,Private,185177,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,49,United-States,<=50K
37,Private,111128,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,357781,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,102509,10th,6,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,50,United-States,<=50K
18,Private,329054,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K
51,Private,29580,11th,7,Married-civ-spouse,Sales,Husband,White,Male,4386,0,30,United-States,>50K
24,Private,255474,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
52,Private,241444,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,50,Puerto-Rico,<=50K
67,Self-emp-inc,116986,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
31,Private,117816,7th-8th,4,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,70,United-States,<=50K
21,Private,210355,11th,7,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,24,United-States,<=50K
21,Private,132320,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
53,Private,188644,Preschool,1,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
18,Private,28648,11th,7,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K
28,Private,314177,10th,6,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,United-States,<=50K
44,Private,155701,7th-8th,4,Separated,Other-service,Unmarried,White,Female,0,0,38,Peru,<=50K
48,Private,254809,10th,6,Divorced,Machine-op-inspct,Unmarried,White,Female,0,1594,32,United-States,<=50K
23,Private,82393,9th,5,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,20,Philippines,<=50K
17,Private,295308,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,20,United-States,<=50K
17,Private,176017,10th,6,Never-married,Other-service,Other-relative,White,Male,0,0,15,United-States,<=50K
39,Private,248445,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
33,Private,98995,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,36,United-States,<=50K
17,Private,226717,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
17,Private,56986,12th,8,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,<=50K
23,Private,121650,5th-6th,3,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,30,United-States,<=50K
23,Private,188409,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,4508,0,25,United-States,<=50K
44,Private,173888,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,>50K
19,Private,299050,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
69,Private,108196,9th,5,Never-married,Craft-repair,Other-relative,White,Male,2993,0,40,United-States,<=50K
73,Local-gov,161027,5th-6th,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,20,United-States,<=50K
76,Private,70697,7th-8th,4,Widowed,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K
74,Private,183701,10th,6,Widowed,Other-service,Not-in-family,Black,Female,0,0,6,United-States,<=50K
48,Private,80430,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
42,Self-emp-not-inc,82161,10th,6,Widowed,Transport-moving,Unmarried,White,Male,0,0,35,United-States,<=50K
63,Self-emp-not-inc,129845,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,123490,11th,7,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States,<=50K
32,Private,188245,11th,7,Never-married,Priv-house-serv,Unmarried,Black,Female,0,0,40,United-States,<=50K
64,Self-emp-not-inc,167149,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,25,United-States,<=50K
56,Private,301835,5th-6th,3,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Private,197732,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
17,Private,250541,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K
36,Private,181721,10th,6,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United-States,<=50K
26,Private,158333,5th-6th,3,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,Columbia,<=50K
36,Private,288103,11th,7,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
68,Private,156000,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
71,Private,228806,9th,5,Divorced,Priv-house-serv,Not-in-family,Black,Female,0,0,6,United-States,<=50K
29,Private,253752,10th,6,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,40,United-States,<=50K
31,Private,129804,9th,5,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,Puerto-Rico,<=50K
40,Private,145439,5th-6th,3,Married-civ-spouse,Other-service,Husband,Other,Male,4064,0,40,Mexico,<=50K
47,Local-gov,138342,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,3411,0,40,El-Salvador,<=50K
17,Private,140117,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
64,Private,171373,11th,7,Widowed,Farming-fishing,Unmarried,White,Female,0,0,40,United-States,<=50K
17,Private,47771,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,20,United-States,<=50K
25,Private,167031,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Columbia,<=50K
51,Private,43354,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
32,Private,175878,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
55,Private,213894,11th,7,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
17,Private,150262,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
23,Private,175837,11th,7,Never-married,Farming-fishing,Other-relative,White,Female,0,0,40,Puerto-Rico,<=50K
17,Private,289405,11th,7,Never-married,Machine-op-inspct,Own-child,Other,Male,0,0,12,United-States,<=50K
61,State-gov,151459,10th,6,Never-married,Other-service,Not-in-family,Black,Female,0,0,38,United-States,<=50K
50,Private,140741,11th,7,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States,<=50K
18,Private,36251,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
31,State-gov,29152,12th,8,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
31,Private,373432,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,<=50K
46,Private,116952,7th-8th,4,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,<=50K
46,Self-emp-inc,161386,9th,5,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,50,United-States,<=50K
67,Self-emp-not-inc,105907,1st-4th,2,Widowed,Other-service,Not-in-family,Black,Female,0,0,20,United-States,<=50K
23,Private,200677,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,156334,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
57,Private,222247,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
49,State-gov,336509,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
33,Private,433375,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,Mexico,<=50K
43,Private,190044,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,326232,7th-8th,4,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,48,United-States,<=50K
32,Private,236543,12th,8,Divorced,Protective-serv,Own-child,White,Male,0,0,54,Mexico,<=50K
71,Private,200418,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
55,Self-emp-inc,258648,10th,6,Widowed,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Private,114798,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
46,Private,143189,5th-6th,3,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,Dominican-Republic,<=50K
60,Private,166386,11th,7,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,0,30,Hong,<=50K
59,Private,261232,11th,7,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,83401,5th-6th,3,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,407068,1st-4th,2,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,40,Guatemala,<=50K
28,Private,209801,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
55,Private,144084,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
56,Private,195668,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Cuba,>50K
47,Private,102771,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Portugal,<=50K
65,Self-emp-not-inc,22907,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
30,Private,233980,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,171090,9th,5,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,48,United-States,<=50K
17,Private,159849,11th,7,Never-married,Protective-serv,Own-child,White,Female,0,0,30,United-States,<=50K
49,Private,80914,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,45,United-States,<=50K
37,Private,131463,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,33,United-States,<=50K
24,Private,177287,12th,8,Never-married,Other-service,Own-child,White,Female,0,0,38,United-States,<=50K
49,Private,169180,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,Hong,<=50K
27,Private,214858,10th,6,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,55,United-States,<=50K
48,Federal-gov,88564,7th-8th,4,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
56,Private,205735,1st-4th,2,Separated,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K
22,Private,60783,10th,6,Never-married,Craft-repair,Own-child,White,Male,0,0,15,United-States,<=50K
29,Private,327964,9th,5,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
17,Private,117477,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
22,Private,459463,12th,8,Married-spouse-absent,Other-service,Unmarried,Black,Female,0,0,50,United-States,<=50K
22,Private,106843,10th,6,Never-married,Craft-repair,Other-relative,White,Male,0,0,30,United-States,<=50K
57,Private,99364,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
25,Private,162687,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
53,Self-emp-not-inc,162576,7th-8th,4,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,99,United-States,<=50K
34,Self-emp-not-inc,288486,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
42,Private,183319,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,El-Salvador,<=50K
40,State-gov,140108,9th,5,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,<=50K
28,Private,410216,11th,7,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,>50K
60,Private,122276,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Italy,<=50K
73,Private,92298,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,15,United-States,<=50K
35,Private,314897,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
53,Private,224894,5th-6th,3,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,0,0,10,Haiti,<=50K
72,Private,426562,11th,7,Divorced,Other-service,Not-in-family,Black,Female,0,0,35,United-States,<=50K
17,Private,169037,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
68,Private,124686,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10,United-States,<=50K
52,Private,145081,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
17,Private,127366,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,<=50K
59,Self-emp-not-inc,70623,7th-8th,4,Married-civ-spouse,Sales,Husband,White,Male,0,0,85,United-States,<=50K
40,Private,558944,7th-8th,4,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
18,Private,256967,10th,6,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K
60,Private,291904,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K
34,Private,176244,7th-8th,4,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
52,Private,169182,9th,5,Widowed,Other-service,Not-in-family,White,Female,0,0,25,Puerto-Rico,<=50K
17,Self-emp-not-inc,36218,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,<=50K
17,Private,163836,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
61,Private,107438,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,1651,40,United-States,<=50K
70,Private,405362,7th-8th,4,Widowed,Other-service,Unmarried,Black,Female,0,0,38,United-States,<=50K
34,Private,684015,5th-6th,3,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,El-Salvador,<=50K
35,Private,267966,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
17,Private,216137,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,<=50K
39,Local-gov,423605,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1848,40,Nicaragua,>50K
17,Private,413557,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,32,United-States,<=50K
32,Private,390997,1st-4th,2,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,50,Mexico,<=50K
55,Private,102058,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
19,Private,247298,12th,8,Married-spouse-absent,Other-service,Own-child,Other,Female,0,0,20,United-States,<=50K
56,Private,98809,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,5013,0,45,United-States,<=50K
57,Private,103403,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,119153,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
40,Local-gov,183096,9th,5,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Yugoslavia,>50K
22,Private,554317,9th,5,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K
37,Self-emp-not-inc,150993,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
63,Self-emp-not-inc,147140,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
28,Private,263015,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
64,Private,391121,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
20,Private,344278,11th,7,Separated,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
36,Self-emp-not-inc,207202,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
17,Private,285169,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,40,United-States,<=50K
28,Private,175431,9th,5,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,<=50K
56,Private,244554,10th,6,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K
49,Private,232586,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
40,Private,408229,1st-4th,2,Never-married,Other-service,Not-in-family,White,Male,0,0,45,El-Salvador,<=50K
62,Private,197286,12th,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,48,Germany,<=50K
55,Private,49996,11th,7,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
38,Private,372484,11th,7,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
77,Private,253642,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,0,0,30,United-States,<=50K
17,Private,151141,12th,8,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
34,Private,152453,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Guatemala,<=50K
63,Private,187919,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
26,Private,167350,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,408473,12th,8,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K
21,Private,329530,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
22,Private,464103,1st-4th,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Guatemala,<=50K
17,Local-gov,308901,11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K
20,Private,369677,10th,6,Separated,Sales,Not-in-family,White,Female,0,0,36,United-States,<=50K
57,Private,231232,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
17,Private,117549,10th,6,Never-married,Sales,Other-relative,Black,Female,0,0,12,United-States,<=50K
47,Private,110243,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
19,Private,125591,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
18,Private,270544,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
44,State-gov,199551,11th,7,Separated,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,<=50K
17,Private,126771,12th,8,Never-married,Prof-specialty,Own-child,White,Male,0,0,7,United-States,<=50K
19,Private,349620,10th,6,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
46,Private,213611,7th-8th,4,Married-spouse-absent,Priv-house-serv,Unmarried,White,Female,0,1594,24,Guatemala,<=50K
60,Private,52900,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,245487,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,40,Mexico,<=50K
17,Private,96282,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,14,United-States,<=50K
61,State-gov,199495,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,41806,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,168941,11th,7,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Private,75333,10th,6,Never-married,Sales,Own-child,Black,Female,0,0,24,United-States,<=50K
33,Private,400416,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K
22,Private,136824,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
25,Private,143280,10th,6,Never-married,Priv-house-serv,Own-child,White,Female,0,0,24,United-States,<=50K
18,Private,123856,11th,7,Never-married,Sales,Own-child,White,Female,0,0,49,United-States,<=50K
19,Private,304469,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,United-States,<=50K
18,Private,100875,11th,7,Never-married,Other-service,Unmarried,White,Female,0,0,28,United-States,<=50K
17,Private,218124,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
90,Private,250832,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
53,Self-emp-not-inc,118793,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
50,Private,165050,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-not-inc,137223,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
54,Private,257765,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Guatemala,<=50K
52,Private,42924,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
43,Private,167599,11th,7,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,25,United-States,<=50K
60,Private,181200,12th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,283281,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
58,Private,214502,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,>50K
27,Private,38599,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
18,Private,317425,11th,7,Never-married,Other-service,Own-child,Black,Male,0,0,7,United-States,<=50K
43,Private,186396,9th,5,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,20,United-States,<=50K
63,Private,201631,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
40,Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
61,Private,162391,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1651,40,United-States,<=50K
18,Private,87157,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States,<=50K
56,Private,238638,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,195994,1st-4th,2,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,Guatemala,<=50K
30,Self-emp-not-inc,226535,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K
17,Private,47199,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0,24,United-States,<=50K
77,Private,142646,7th-8th,4,Widowed,Priv-house-serv,Unmarried,White,Female,0,0,23,United-States,<=50K
64,Private,169604,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,110622,5th-6th,3,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,20,Vietnam,<=50K
37,Self-emp-not-inc,192251,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,2635,0,40,United-States,<=50K
49,Private,200949,10th,6,Never-married,Other-service,Unmarried,White,Female,0,0,38,Peru,<=50K
28,Self-emp-not-inc,107236,12th,8,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,138416,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,56,Mexico,<=50K
37,Private,194004,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,<=50K
17,Private,108402,10th,6,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
34,Private,346275,11th,7,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,43,United-States,<=50K
34,Private,56150,11th,7,Never-married,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K
53,Private,108083,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,<=50K
36,Private,111377,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,155621,5th-6th,3,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Columbia,<=50K
69,Private,174474,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,28,Peru,<=50K
48,Private,115784,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,<=50K
23,Private,315065,10th,6,Never-married,Other-service,Unmarried,White,Male,0,0,60,Mexico,<=50K
23,Private,520775,12th,8,Never-married,Priv-house-serv,Own-child,White,Male,0,0,30,United-States,<=50K
19,Private,99246,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States,<=50K
68,Private,168794,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,10,United-States,<=50K
65,Private,261334,9th,5,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
18,Private,333611,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,54,Mexico,<=50K
81,Private,100675,1st-4th,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,Poland,<=50K
48,Private,177211,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
28,Private,221215,10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,<=50K
17,Private,345403,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
64,Private,221343,1st-4th,2,Divorced,Priv-house-serv,Not-in-family,White,Female,0,0,12,United-States,<=50K
38,Private,76878,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,>50K
20,Private,206681,12th,8,Never-married,Sales,Not-in-family,White,Female,0,0,55,United-States,<=50K
38,Private,170174,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
57,Private,225927,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,209538,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
18,Private,270502,11th,7,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
49,Private,33673,12th,8,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,0,35,United-States,<=50K
47,Private,27815,9th,5,Divorced,Other-service,Not-in-family,White,Female,0,1719,30,United-States,<=50K
36,Local-gov,135786,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United-States,<=50K
26,Private,483822,7th-8th,4,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,Guatemala,<=50K
48,Private,152953,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32,Dominican-Republic,<=50K
61,Private,93997,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Italy,<=50K
23,Private,274424,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
